CSV, Chiang Mai,,,,,,,
INFO:1,null,,,,,,,
INFO:2,null,,,,,,,
DTG, 2023-11-17 04:50:00,,,,,,,
LAT,18.8, N,,,,,,
LON,99, E,,,,,,
ELEV,316,,,,,,,
TEMPERATURE, C,,,,,,,
MOISTURE, TD,,,,,,,
WIND, kts,,,,,,,
GPM, AGL,,,,,,,
MISSING,-999,,,,,,,
SORT, YES,,,,,,,
RAOB/DATA,,,,,,,,
PRES, TEMP, TD, WIND, SPEED, GPM, VapDen, LiqWat, WSPEED
451.2,-8.9,-16.5,-999,-999,6400,3.2,0,-999
448.3,-9.2,-17,-999,-999,6450,3.2,0,-999
445.4,-9.4,-17.5,-999,-999,6500,3.1,0,-999
442.5,-9.7,-17.9,-999,-999,6550,3,0,-999
439.7,-9.9,-18.4,-999,-999,6600,2.8,0,-999
436.8,-10.2,-18.9,-999,-999,6650,2.6,0,-999
434,-10.4,-19.3,-999,-999,6700,2.5,0,-999
431.1,-10.7,-19.8,-999,-999,6750,2.3,0,-999
428.4,-11,-19.9,-999,-999,6800,2.2,0,-999
425.6,-11.4,-20.1,-999,-999,6850,2.1,0,-999
422.8,-11.8,-20.3,-999,-999,6900,1.9,0,-999
420,-12.1,-20.5,-999,-999,6950,1.8,0,-999
417.3,-12.5,-20.7,-999,-999,7000,1.7,0,-999
414.6,-12.8,-21.3,-999,-999,7050,1.6,0,-999
411.9,-13.1,-21.8,-999,-999,7100,1.5,0,-999
409.2,-13.4,-22.4,-999,-999,7150,1.3,0,-999
406.5,-13.6,-23,-999,-999,7200,1.2,0,-999
403.8,-13.9,-23.5,-999,-999,7250,1.1,0,-999
401.2,-14.3,-23.8,-999,-999,7300,1.1,0,-999
398.5,-14.6,-24.1,-999,-999,7350,1,0,-999
395.9,-14.9,-24.3,-999,-999,7400,1,0,-999
393.3,-15.3,-24.6,-999,-999,7450,1,0,-999
390.6,-15.6,-24.9,-999,-999,7500,0.9,0,-999
388.1,-16,-25.1,-999,-999,7550,0.9,0,-999
385.5,-16.3,-25.3,-999,-999,7600,0.8,0,-999
383,-16.6,-25.5,-999,-999,7650,0.8,0,-999
380.4,-17,-25.7,-999,-999,7700,0.7,0,-999
377.9,-17.3,-25.9,-999,-999,7750,0.7,0,-999
375.4,-17.6,-26.2,-999,-999,7800,0.7,0,-999
372.9,-17.8,-26.6,-999,-999,7850,0.7,0,-999
370.4,-18.1,-26.9,-999,-999,7900,0.7,0,-999
367.9,-18.3,-27.2,-999,-999,7950,0.6,0,-999
365.4,-18.6,-27.5,-999,-999,8000,0.6,0,-999
363,-18.9,-27.8,-999,-999,8050,0.6,0,-999
360.6,-19.2,-28.1,-999,-999,8100,0.5,0,-999
358.2,-19.6,-28.4,-999,-999,8150,0.5,0,-999
355.7,-19.9,-28.7,-999,-999,8200,0.4,0,-999
353.3,-20.2,-29,-999,-999,8250,0.3,0,-999
351,-20.4,-29.1,-999,-999,8300,0.3,0,-999
348.6,-20.6,-29.2,-999,-999,8350,0.4,0,-999
346.3,-20.9,-29.4,-999,-999,8400,0.4,0,-999
343.9,-21.1,-29.5,-999,-999,8450,0.4,0,-999
341.6,-21.3,-29.6,-999,-999,8500,0.4,0,-999
339.3,-21.6,-29.8,-999,-999,8550,0.3,0,-999
337,-21.9,-29.9,-999,-999,8600,0.3,0,-999
334.7,-22.2,-30.1,-999,-999,8650,0.3,0,-999
332.4,-22.5,-30.2,-999,-999,8700,0.3,0,-999
330.1,-22.9,-30.4,-999,-999,8750,0.2,0,-999
327.9,-23.2,-30.6,-999,-999,8800,0.2,0,-999
325.7,-23.5,-30.8,-999,-999,8850,0.2,0,-999
323.5,-23.8,-31,-999,-999,8900,0.2,0,-999
321.2,-24,-31.2,-999,-999,8950,0.2,0,-999
319,-24.3,-31.4,-999,-999,9000,0.2,0,-999
316.9,-24.7,-31.7,-999,-999,9050,0.2,0,-999
314.7,-25,-32,-999,-999,9100,0.2,0,-999
312.5,-25.4,-32.3,-999,-999,9150,0.2,0,-999
310.4,-25.7,-32.6,-999,-999,9200,0.2,0,-999
308.2,-26,-32.9,-999,-999,9250,0.2,0,-999
306.1,-26.3,-33.4,-999,-999,9300,0.2,0,-999
304,-26.6,-33.9,-999,-999,9350,0.2,0,-999
301.9,-26.9,-34.4,-999,-999,9400,0.2,0,-999
299.8,-27.2,-35,-999,-999,9450,0.2,0,-999
297.7,-27.5,-35.5,-999,-999,9500,0.2,0,-999
295.7,-27.9,-36.2,-999,-999,9550,0.2,0,-999
293.6,-28.2,-37,-999,-999,9600,0.2,0,-999
291.6,-28.6,-37.8,-999,-999,9650,0.1,0,-999
289.5,-28.9,-38.5,-999,-999,9700,0.1,0,-999
287.5,-29.3,-39.3,-999,-999,9750,0.1,0,-999
285.5,-29.7,-39.7,-999,-999,9800,0.1,0,-999
283.5,-30.1,-40.2,-999,-999,9850,0.1,0,-999
281.5,-30.6,-40.6,-999,-999,9900,0.1,0,-999
279.5,-31,-41.1,-999,-999,9950,0.1,0,-999
277.6,-31.4,-41.6,-999,-999,10000,0.1,0,-999
